sample,genotype
CD0496d,mlh.1
CD0497a,mlh.1
CD0497d,mlh.1
CD0498a,mlh.1
CD0498c,mlh.1
CD0498d,mlh.1
CD0499a,mlh.1
CD0499c,mlh.1
CD0499d,mlh.1
CD0500a,msh.2
CD0500c,msh.2
CD0501a,msh.2
CD0502a,msh.2
CD0502c,msh.2
CD0502d,msh.2
CD0503c,msh.2
CD0504a,msh.2
CD0504c,msh.2
CD0504d,msh.2
CD0505a,msh.2
CD0505c,msh.2
CD0505d,msh.2
CD0506c,msh.2
CD0506d,msh.2
CD0507a,msh.2
CD0507d,msh.2
CD0508a,msh.2
CD0508c,msh.2
CD0508d,msh.2
CD0509c,msh.2
CD0510a,msh.2
CD0510c,msh.2
CD0510d,msh.2
CD0511a,msh.2
CD0511c,msh.2
CD0511d,msh.2
CD0512a,msh.2
CD0513a,msh.2
CD0513c,msh.2
CD0513d,msh.2
CD0514a,msh.2
CD0514c,msh.2
CD0514d,msh.2
CD0515c,msh.2
CD0516a,msh.2
CD0516d,msh.2
CD0517a,msh.2
CD0517c,msh.2
CD0517d,msh.2
CD0518a,msh.2
CD0518c,msh.2
CD0518d,msh.2
CD0519a,msh.2
CD0519c,msh.2
CD0519d,msh.2
CD0520a,msh.2
CD0520c,msh.2
CD0520d,msh.2
CD0521a,msh.2
CD0522a,msh.2
CD0522d,msh.2
CD0523a,msh.2
CD0523c,msh.2
CD0524a,msh.2
CD0525a,msh.2
CD0525c,msh.2
CD0525d,msh.2
CD0526a,msh.2
CD0526c,msh.2
CD0526d,msh.2
CD0527a,msh.2
CD0527d,msh.2
CD0528a,msh.2
CD0528c,msh.2
CD0528d,msh.2
CD0529a,msh.2
CD0529c,msh.2
CD0529d,msh.2
CD0530c,msh.2
CD0531a,msh.2
CD0531c,msh.2
CD0531d,msh.2
CD0532a,msh.2
CD0532c,msh.2
CD0534a,msh.2
CD0535a,msh.2
CD0536c,msh.2
CD0536d,msh.2
CD0537a,msh.2
CD0537c,msh.2
CD0538a,msh.2
CD0538c,msh.2
CD0539a,msh.2
CD0539d,msh.2
CD0540a,msh.2
CD0540c,msh.2
